date,open,close,high,low,volume
1982.1.14,125.6,125.6,125.6,125.6,1290000
1982.1.15,124.04,124.04,124.04,124.04,637000
1982.1.16,125.84,125.84,125.84,125.84,595000
1982.1.18,126.63,126.63,126.63,126.63,1010000
1982.1.19,125.76,125.76,125.76,125.76,998000
1982.1.20,125.6,125.6,125.6,125.6,719000
1982.1.21,126.07,126.07,126.07,126.07,893000
1982.1.22,125.7,125.7,125.7,125.7,908000
1982.1.23,125.96,125.96,125.96,125.96,485000
1982.1.25,126.07,126.07,126.07,126.07,388000
1982.1.26,126.66,126.66,126.66,126.66,721000
1982.1.27,126.1,126.1,126.1,126.1,676000
1982.1.28,125.29,125.29,125.29,125.29,682000
1982.1.29,125.67,125.67,125.67,125.67,616000
1982.1.30,125.65,125.65,125.65,125.65,473000
1982.2.1,125.12,125.12,125.12,125.12,849000
1982.2.2,124.04,124.04,124.04,124.04,674000
1982.2.3,123.24,123.24,123.24,123.24,613000
1982.2.4,122.84,122.84,122.84,122.84,801000
1982.2.5,124.31,124.31,124.31,124.31,991000
1982.2.6,124.09,124.09,124.09,124.09,774000
1982.2.8,125.6,125.6,125.6,125.6,1770000
1982.2.9,125.83,125.83,125.83,125.83,1440000
1982.2.10,125.18,125.18,125.18,125.18,1380000
1982.2.11,124.56,124.56,124.56,124.56,977000
1982.2.12,125.67,125.67,125.67,125.67,1010000
1982.2.13,126.45,126.45,126.45,126.45,1070000
1982.2.15,126.08,126.08,126.08,126.08,2260000
1982.2.16,126.01,126.01,126.01,126.01,1910000
1982.2.17,126.11,126.11,126.11,126.11,1640000
1982.2.18,126.19,126.19,126.19,126.19,1870000
1982.2.19,126.83,126.83,126.83,126.83,2230000
1982.2.20,125.87,125.87,125.87,125.87,813000
1982.2.22,123.6,123.6,123.6,123.6,881000
1982.2.23,124.76,124.76,124.76,124.76,1020000
1982.2.24,126.49,126.49,126.49,126.49,1310000
1982.2.25,127.23,127.23,127.23,127.23,1660000
1982.2.26,127.74,127.74,127.74,127.74,1190000
1982.2.27,128.78,128.78,128.78,128.78,968000
1982.3.2,128.97,128.97,128.97,128.97,1090000
1982.3.3,129.28,129.28,129.28,129.28,1080000
1982.3.4,132.2,132.2,132.2,132.2,2200000
1982.3.5,133.64,133.64,133.64,133.64,1990000
1982.3.6,134.48,134.48,134.48,134.48,1610000
1982.3.8,132.83,132.83,132.83,132.83,1370000
1982.3.9,132.47,132.47,132.47,132.47,1740000
1982.3.11,130.84,130.84,130.84,130.84,2090000
1982.3.12,129.65,129.65,129.65,129.65,1240000
1982.3.13,129.72,129.72,129.72,129.72,776000
1982.3.15,129.05,129.05,129.05,129.05,812000
1982.3.16,127.92,127.92,127.92,127.92,1040000
1982.3.17,127.04,127.04,127.04,127.04,1280000
1982.3.18,127.28,127.28,127.28,127.28,960000
1982.3.19,126.51,126.51,126.51,126.51,826000
1982.3.20,125.58,125.58,125.58,125.58,492000
1982.3.22,126.53,126.53,126.53,126.53,692000
1982.3.23,129.06,129.06,129.06,129.06,1310000
1982.3.24,127.62,127.62,127.62,127.62,1180000
1982.3.25,128.02,128.02,128.02,128.02,805000
1982.3.26,127.61,127.61,127.61,127.61,752000
1982.3.27,128.55,128.55,128.55,128.55,838000
1982.3.29,128.5,128.5,128.5,128.5,1230000
1982.3.30,126.59,126.59,126.59,126.59,670000
1982.3.31,127.83,127.83,127.83,127.83,765000
1982.4.1,126.35,126.35,126.35,126.35,670000
1982.4.2,126.56,126.56,126.56,126.56,572000
1982.4.3,126.73,126.73,126.73,126.73,354000
1982.4.6,126.29,126.29,126.29,126.29,374000
1982.4.7,125.42,125.42,125.42,125.42,557000
1982.4.8,126.13,126.13,126.13,126.13,535000
1982.4.9,124.82,124.82,124.82,124.82,473000
1982.4.10,124.26,124.26,124.26,124.26,308000
1982.4.12,123.7,123.7,123.7,123.7,600000
1982.4.13,123.27,123.27,123.27,123.27,404000
1982.4.14,124.16,124.16,124.16,124.16,650000
1982.4.15,123.12,123.12,123.12,123.12,523000
1982.4.16,122.16,122.16,122.16,122.16,701000
1982.4.17,121.65,121.65,121.65,121.65,435000
1982.4.19,120.82,120.82,120.82,120.82,463000
1982.4.20,119.71,119.71,119.71,119.71,653000
1982.4.21,119.67,119.67,119.67,119.67,485000
1982.4.22,122.83,122.83,122.83,122.83,707000
1982.4.23,122.36,122.36,122.36,122.36,724000
1982.4.24,122.35,122.35,122.35,122.35,374000
1982.4.26,121.3,121.3,121.3,121.3,546000
1982.4.27,120.51,120.51,120.51,120.51,424000
1982.4.28,121.46,121.46,121.46,121.46,536000
